"Responder ID","flag_straightline","flag_longstring","flag_speeding","flag_inconsistent","flag_duplicate","n_flags","qc_remove","longstring_max","irv"
"2_ABaOnueVIoVT2U7aJJml6Ekv0CHAP4v1nRNmTShQV9EFEot_ui7lOjSu1bdx6aCKNA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,10,0.722133023793564
"2_ABaOnuccmu9B7KndNHi7uKQT90ScFnW6YsE7uXsVdeHSoKRswZqdu5wohB9YOxzWJA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.636887850646619
"2_ABaOnudojshoyi7Ap11tOUFY4iv9J1MCaj-vM_dAQlkyqiRepg3VXIOsD-2VTMDB1A",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.504366895139125
"2_ABaOnufdftoGc_2zW3XB8wDsRsPIMVf212nN22ed4RkxYVT2AtT4Ogm7JNy5aKEUYw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,14,0.488215635715457
"2_ABaOnucCobN7tIWtQTiREMc1W9OEO3ghmHhKJLNdWSwaUhUkQe2GimpTTMnDkXy1Fw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,20,0.4130362103627
"2_ABaOnudb1Xfh5Bc7jX_mJbktXJlFukXCG8RxOJQGKbfsVIFHpATfFS4XHqsUH-H1Hg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,19,0.496813804601715
"2_ABaOnueHmcn0Bnq5bOmPk-t7FVXHCp2BZ6BvBQZnlq4g1Nq2A2vGcGIfpmomxZjQHA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,12,1.25415220832461
"2_ABaOnuda5VZmzEAyuAezW196UclHKTBp1HpD582dVMjj01vc9hAwiLwdm99bmMf7uQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.509142072836972
"2_ABaOnudgRQteq7g7ufFjhnXi1ZoSrqmAAfiyePCm4ZoMakwZnszcOd2-RvTp91gfjg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,7,1.00873379027825
"2_ABaOnufZ5dxr6y_nVhZITPGObKt3DGdjq23q93n946w77IjESCQYKxWtEIvRbQirbw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.875145826583115
